accession,assembly_stats_contig_l50,assembly_stats_contig_n50,assembly_stats_gc_count,assembly_stats_gc_percent,assembly_stats_genome_coverage,assembly_stats_number_of_component_sequences,assembly_stats_number_of_contigs,assembly_stats_number_of_scaffolds,assembly_stats_scaffold_l50,assembly_stats_scaffold_n50,assembly_stats_total_number_of_chromosomes,assembly_stats_total_sequence_length,assembly_stats_total_ungapped_length,organism_common_name,organism_infraspecific_names_isolate,organism_infraspecific_names_strain,organism_organism_name,organism_tax_id
GCA_045037905.1,1,4809021,2561676,52,191,3,3,3,1,4809021,3,4913625,4913625,,,S-28553,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_045037915.1,1,4808980,2538476,52,230,2,2,2,1,4808980,2,4868350,4868350,,,S-28523,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_045037925.1,1,4809016,2561660,52,252,3,3,3,1,4809016,3,4913618,4913618,,,S-28467,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_045037935.1,1,4808980,2561606,52,149,3,3,3,1,4808980,3,4913585,4913585,,,S-28445,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_045037955.1,1,4808999,2538497,52,144,2,2,2,1,4808999,2,4868372,4868372,,,S-28539,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568425.1,1,4679497,2464657,52,100,2,2,2,1,4679497,2,4731029,4731029,,,44,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568435.1,1,4680006,2441909,52,100,1,1,1,1,4680006,1,4680006,4680006,,,42,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568445.1,1,4680791,2543916,52,100,4,4,4,1,4680791,4,4887268,4887268,,,43,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568455.1,1,4684751,2464059,52,100,2,2,2,1,4684751,2,4730493,4730493,,,41,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568465.1,1,4685960,2475352,52,100,2,2,2,1,4685960,2,4745332,4745332,,,40,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568475.1,1,4680246,2522371,52,100,4,4,4,1,4680246,4,4838611,4838611,,,38,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568485.1,1,4685805,2475280,52,100,2,2,2,1,4685805,2,4745177,4745177,,,39,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568495.1,1,4679815,2461549,52,100,2,2,2,1,4679815,2,4725985,4725985,,,37,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568505.1,1,4685991,2520399,52,100,4,4,4,1,4685991,4,4835664,4835664,,,36,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568515.1,1,4679489,2513647,52,100,3,3,3,1,4679489,3,4828594,4828594,,,35,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568525.1,1,4686099,2477318,52,100,3,3,3,1,4686099,3,4749786,4749786,,,34,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568535.1,1,4679908,2475683,52,100,4,4,4,1,4679908,4,4745662,4745662,,,33,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568545.1,1,3123494,2466959,52,100,6,6,6,1,3123494,6,4735821,4735821,,,32,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568565.1,1,4679987,2475293,52,100,3,3,3,1,4679987,3,4744628,4744628,,,31,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568575.1,1,4680019,2477916,52,100,5,5,5,1,4680019,5,4749768,4749768,,,30,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568585.1,1,4679989,2498346,52,100,4,4,4,1,4679989,4,4796162,4796162,,,29,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568595.1,1,4677454,2471803,52,100,2,2,2,1,4677454,2,4736826,4736826,,,28,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568605.1,1,4679863,2472667,52,100,2,2,2,1,4679863,2,4739235,4739235,,,27,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568615.1,1,4690133,2479300,52,100,3,3,3,1,4690133,3,4753555,4753555,,,26,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568625.1,1,4679999,2472747,52,100,2,2,2,1,4679999,2,4739371,4739371,,,25,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568635.1,1,4712432,2481764,52,100,2,2,2,1,4712432,2,4763964,4763964,,,24,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568645.1,1,4684041,2533643,52,100,3,3,3,1,4684041,3,4859692,4859692,,,23,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568655.1,1,4713671,2491894,52,100,3,3,3,1,4713671,3,4776650,4776650,,,22,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568665.1,1,4679982,2498347,52,100,4,4,4,1,4679982,4,4796155,4796155,,,21,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568675.1,1,4679850,2546171,52,100,4,4,4,1,4679850,4,4892777,4892777,,,20,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568695.1,1,4679838,2498277,52,100,4,4,4,1,4679838,4,4796011,4796011,,,19,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568705.1,1,4679845,2539384,52,100,4,4,4,1,4679845,4,4878107,4878107,,,18,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568715.1,1,4679650,2492123,52,100,3,3,3,1,4679650,3,4785066,4785066,,,17,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568725.1,1,4679498,2495498,52,100,3,3,3,1,4679498,3,4790402,4790402,,,16,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568735.1,1,4679847,2505221,52,100,6,6,6,1,4679847,6,4814555,4814555,,,15,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568745.1,1,4679847,2500358,52,100,5,5,5,1,4679847,5,4798552,4798552,,,14,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568755.1,1,4679253,2472173,52,100,2,2,2,1,4679253,2,4738625,4738625,,,13,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568765.1,1,4685920,2476748,52,100,3,3,3,1,4685920,3,4748531,4748531,,,12,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568775.1,1,4679845,2493169,52,100,2,2,2,1,4679845,2,4783638,4783638,,,11,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568785.1,1,4679997,2544080,52,100,4,4,4,1,4679997,4,4887673,4887673,,,9,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568795.1,1,4679898,2472645,52,100,2,2,2,1,4679898,2,4739270,4739270,,,10,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568805.1,1,4679121,2472139,52,100,2,2,2,1,4679121,2,4738492,4738492,,,7,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568815.1,1,4679842,2495712,52,100,3,3,3,1,4679842,3,4790746,4790746,,,6,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568825.1,1,4679848,2495708,52,100,3,3,3,1,4679848,3,4790752,4790752,,,5,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568835.1,1,4679497,2495504,52,100,3,3,3,1,4679497,3,4790401,4790401,,,4,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568845.1,1,4678762,2471902,52,100,2,2,2,1,4678762,2,4738134,4738134,,,2,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568855.1,1,4678771,2471892,52,100,2,2,2,1,4678771,2,4738143,4738143,,,3,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_048568875.1,1,4680003,2472748,52,100,2,2,2,1,4680003,2,4739375,4739375,,,1,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_049618335.1,1,4686171,2527593,52,80,3,3,3,1,4686171,3,4849012,4849012,,,2014C04-239,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCA_049810345.1,1,4681401,2499684,52,100,2,2,2,1,4681401,2,4791673,4791673,,,230531_3,Salmonella enterica subsp. enterica serovar Enteritidis,149539
GCF_000335875.2,1,4685993,2475350,52,196,2,2,2,1,4685993,2,4745329,4745329,,,18569,Salmonella enterica subsp. enterica serovar Enteritidis str. 18569,696867
GCA_000335875.2,1,4685993,2475350,52,196,2,2,2,1,4685993,2,4745329,4745329,,,18569,Salmonella enterica subsp. enterica serovar Enteritidis str. 18569,696867
GCA_018338875.1,1,4679730,2488986,52,167,3,3,3,1,4679730,3,4778885,4778885,,,607307-2,Salmonella enterica subsp. enterica serovar Enteritidis str. 607307-2,887070
GCF_000280315.2,1,4679081,2457015,52,100,2,2,2,1,4679081,2,4718680,4718680,,,77-1427,Salmonella enterica subsp. enterica serovar Enteritidis str. 77-1427,926034
GCA_000280315.2,1,4679081,2457015,52,100,2,2,2,1,4679081,2,4718680,4718680,,,77-1427,Salmonella enterica subsp. enterica serovar Enteritidis str. 77-1427,926034
GCF_000329365.2,1,4679662,2472351,52,89,2,2,2,1,4679662,2,4739031,4739031,,,CDC_2010K_0968,Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0968,886715
GCA_000329365.2,1,4679662,2472351,52,89,2,2,2,1,4679662,2,4739031,4739031,,,CDC_2010K-0968,Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0968,886715
GCF_000626275.2,1,4712309,2457794,52,100,1,1,1,1,4712309,1,4712309,4712309,,,EC20090641,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090641,1412453
GCA_000626275.2,1,4712309,2457794,52,100,1,1,1,1,4712309,1,4712309,4712309,,,EC20090641,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090641,1412453
GCF_000626255.1,1,4680996,2442298,52,,1,1,1,1,4680996,1,4680996,4680996,,,EC20090698,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090698,1412454
GCA_000626255.1,1,4680996,2442298,52,,1,1,1,1,4680996,1,4680996,4680996,,,EC20090698,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090698,1412454
GCF_000626215.1,1,4654156,2428291,52,,1,1,1,1,4654156,1,4654156,4654156,,,EC20100101,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100101,1412457
GCA_000626215.1,1,4654156,2428291,52,,1,1,1,1,4654156,1,4654156,4654156,,,EC20100101,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100101,1412457
GCF_000626695.2,1,4685849,2444364,52,70,1,1,1,1,4685849,1,4685849,4685849,,,EC20100325,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100325,1412600
GCA_000626695.2,1,4685849,2444364,52,70,1,1,1,1,4685849,1,4685849,4685849,,,EC20100325,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100325,1412600
GCF_000626235.1,1,4709033,2456455,52,,1,1,1,1,4709033,1,4709033,4709033,,,EC20110221,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110221,1412455
GCA_000626235.1,1,4709033,2456455,52,,1,1,1,1,4709033,1,4709033,4709033,,,EC20110221,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110221,1412455
GCF_000626175.1,1,4711160,2457211,52,100,1,1,1,1,4711160,1,4711160,4711160,,,EC20110354,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110354,1243619
GCA_000626175.1,1,4711160,2457211,52,100,1,1,1,1,4711160,1,4711160,4711160,,,EC20110354,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110354,1243619
GCF_000626295.1,1,4681839,2442680,52,100,1,1,1,1,4681839,1,4681839,4681839,,,EC20110355,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110355,1243620
GCA_000626295.1,1,4681839,2442680,52,100,1,1,1,1,4681839,1,4681839,4681839,,,EC20110355,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110355,1243620
GCF_000623375.1,1,4682805,2443322,52,100,1,1,1,1,4682805,1,4682805,4682805,,,EC20110356,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110356,1243621
GCA_000623375.1,1,4682805,2443322,52,100,1,1,1,1,4682805,1,4682805,4682805,,,EC20110356,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110356,1243621
GCF_000623355.1,1,4678418,2440736,52,100,1,1,1,1,4678418,1,4678418,4678418,,,EC20110357,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110357,1244111
GCA_000623355.1,1,4678418,2440736,52,100,1,1,1,1,4678418,1,4678418,4678418,,,EC20110357,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110357,1244111
GCF_000623335.1,1,4678687,2440967,52,100,1,1,1,1,4678687,1,4678687,4678687,,,EC20110358,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110358,1244112
GCA_000623335.1,1,4678687,2440967,52,100,1,1,1,1,4678687,1,4678687,4678687,,,EC20110358,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110358,1244112
GCF_000623315.1,1,4711474,2457350,52,100,1,1,1,1,4711474,1,4711474,4711474,,,EC20110359,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110359,1244113
GCA_000623315.1,1,4711474,2457350,52,100,1,1,1,1,4711474,1,4711474,4711474,,,EC20110359,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110359,1244113
GCF_000623295.1,1,4678618,2440941,52,100,1,1,1,1,4678618,1,4678618,4678618,,,EC20110360,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110360,1244118
GCA_000623295.1,1,4678618,2440941,52,100,1,1,1,1,4678618,1,4678618,4678618,,,EC20110360,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110360,1244118
GCF_000623275.1,1,4682911,2443347,52,100,1,1,1,1,4682911,1,4682911,4682911,,,EC20110361,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110361,1244119
GCA_000623275.1,1,4682911,2443347,52,100,1,1,1,1,4682911,1,4682911,4682911,,,EC20110361,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110361,1244119
GCF_000626375.1,1,4679953,2441694,52,100,1,1,1,1,4679953,1,4679953,4679953,,,EC20111095,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111095,1244120
GCA_000626375.1,1,4679953,2441694,52,100,1,1,1,1,4679953,1,4679953,4679953,,,EC20111095,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111095,1244120
GCF_000626355.1,1,4683803,2443835,52,100,1,1,1,1,4683803,1,4683803,4683803,,,EC20111174,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111174,1244122
GCA_000626355.1,1,4683803,2443835,52,100,1,1,1,1,4683803,1,4683803,4683803,,,EC20111174,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111174,1244122
GCF_000626335.1,1,4679808,2441608,52,100,1,1,1,1,4679808,1,4679808,4679808,,,EC20111175,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111175,1244121
GCA_000626335.1,1,4679808,2441608,52,100,1,1,1,1,4679808,1,4679808,4679808,,,EC20111175,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111175,1244121
GCF_000624395.2,1,4679418,2441390,52,100,1,1,1,1,4679418,1,4679418,4679418,,,EC20120002,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120002,1412466
GCA_000624395.2,1,4679418,2441390,52,100,1,1,1,1,4679418,1,4679418,4679418,,,EC20120002,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120002,1412466
GCF_000623195.2,1,4679291,2441311,52,100,1,1,1,1,4679291,1,4679291,4679291,,,EC20120005,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120005,1412468
GCA_000623195.2,1,4679291,2441311,52,100,1,1,1,1,4679291,1,4679291,4679291,,,EC20120005,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120005,1412468
GCF_000626195.1,1,4711924,2457615,52,,1,1,1,1,4711924,1,4711924,4711924,,,EC20120008,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120008,1412470
GCA_000626195.1,1,4711924,2457615,52,,1,1,1,1,4711924,1,4711924,4711924,,,EC20120008,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120008,1412470
GCF_000626095.2,1,4685848,2444365,52,70,1,1,1,1,4685848,1,4685848,4685848,,,EC20120200,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120200,1412529
GCA_000626095.2,1,4685848,2444365,52,70,1,1,1,1,4685848,1,4685848,4685848,,,EC20120200,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120200,1412529
GCF_000623055.1,1,4679953,2441694,52,70,1,1,1,1,4679953,1,4679953,4679953,,,EC20121175,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121175,1412592
GCA_000623055.2,1,4679953,2441694,52,70,1,1,1,1,4679953,1,4679953,4679953,,,EC20121175,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121175,1412592
GCF_000624175.1,1,4685848,2444453,52,70,1,1,1,1,4685848,1,4685848,4685848,,,EC20121177,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121177,1412594
GCA_000624175.2,1,4685848,2444453,52,70,1,1,1,1,4685848,1,4685848,4685848,,,EC20121177,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121177,1412594
GCF_000623095.1,1,4685848,2444459,52,70,1,1,1,1,4685848,1,4685848,4685848,,,EC20121178,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121178,1412595
GCA_000623095.2,1,4685848,2444459,52,70,1,1,1,1,4685848,1,4685848,4685848,,,EC20121178,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121178,1412595
GCF_000623115.2,1,4685848,2444470,52,70,1,1,1,1,4685848,1,4685848,4685848,,,EC20121179,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121179,1412596
GCA_000623115.2,1,4685848,2444470,52,70,1,1,1,1,4685848,1,4685848,4685848,,,EC20121179,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121179,1412596
GCF_000623135.1,1,4685848,2444470,52,70,1,1,1,1,4685848,1,4685848,4685848,,,EC20121180,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121180,1412597
GCA_000623135.2,1,4685848,2444470,52,70,1,1,1,1,4685848,1,4685848,4685848,,,EC20121180,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121180,1412597
GCF_000009505.1,1,4685848,2444481,52,,1,1,1,1,4685848,1,4685848,4685848,,,P125109,Salmonella enterica subsp. enterica serovar Enteritidis str. P125109,550537
GCA_000009505.1,1,4685848,2444481,52,,1,1,1,1,4685848,1,4685848,4685848,,,P125109,Salmonella enterica subsp. enterica serovar Enteritidis str. P125109,550537
GCF_003184425.1,1,4668875,2492078,52,134,4,4,4,1,4668875,4,4792035,4792035,,,RM2968,Salmonella enterica subsp. enterica serovar Enteritidis str. RM2968,998822
GCA_003184425.1,1,4668875,2492078,52,134,4,4,4,1,4668875,4,4792035,4792035,,,RM2968,Salmonella enterica subsp. enterica serovar Enteritidis str. RM2968,998822
GCF_000623615.2,1,4685848,2444407,52,70,1,1,1,1,4685848,1,4685848,4685848,,,SA19960848,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19960848,1412487
GCA_000623615.2,1,4685848,2444407,52,70,1,1,1,1,4685848,1,4685848,4685848,,,SA19960848,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19960848,1412487
GCF_000623655.2,1,4685847,2444394,52,70,1,1,1,1,4685847,1,4685847,4685847,,,SA19970510,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19970510,1412473
GCA_000623655.2,1,4685847,2444394,52,70,1,1,1,1,4685847,1,4685847,4685847,,,SA19970510,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19970510,1412473
GCF_000623675.2,1,4685848,2444421,52,70,1,1,1,1,4685848,1,4685848,4685848,,,SA19970769,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19970769,1412474
GCA_000623675.2,1,4685848,2444421,52,70,1,1,1,1,4685848,1,4685848,4685848,,,SA19970769,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19970769,1412474
GCF_000623715.2,1,4685849,2444371,52,70,1,1,1,1,4685849,1,4685849,4685849,,,SA19980677,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19980677,1412472
GCA_000623715.2,1,4685849,2444371,52,70,1,1,1,1,4685849,1,4685849,4685849,,,SA19980677,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19980677,1412472
GCF_000623735.2,1,4685848,2444391,52,70,1,1,1,1,4685848,1,4685848,4685848,,,SA19981522,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19981522,1412485
GCA_000623735.2,1,4685848,2444391,52,70,1,1,1,1,4685848,1,4685848,4685848,,,SA19981522,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19981522,1412485
GCF_000623395.2,1,4685848,2444387,52,70,1,1,1,1,4685848,1,4685848,4685848,,,SA19981857,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19981857,1412486
GCA_000623395.2,1,4685848,2444387,52,70,1,1,1,1,4685848,1,4685848,4685848,,,SA19981857,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19981857,1412486
GCF_000623455.2,1,4685849,2444387,52,70,1,1,1,1,4685849,1,4685849,4685849,,,SA19992322,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19992322,1412452
GCA_000623455.2,1,4685849,2444387,52,70,1,1,1,1,4685849,1,4685849,4685849,,,SA19992322,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19992322,1412452
GCF_000623475.1,1,4685847,2444466,52,70,1,1,1,1,4685847,1,4685847,4685847,,,SA19994216,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19994216,1412499
GCA_000623475.2,1,4685847,2444466,52,70,1,1,1,1,4685847,1,4685847,4685847,,,SA19994216,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19994216,1412499
GCF_000625855.1,1,4685659,2444334,52,70,1,1,1,1,4685659,1,4685659,4685659,,,SA20082034,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20082034,1412488
GCA_000625855.2,1,4685659,2444334,52,70,1,1,1,1,4685659,1,4685659,4685659,,,SA20082034,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20082034,1412488
GCF_000624055.2,1,4685849,2444366,52,70,1,1,1,1,4685849,1,4685849,4685849,,,SA20094352,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094352,1412491
GCA_000624055.2,1,4685849,2444366,52,70,1,1,1,1,4685849,1,4685849,4685849,,,SA20094352,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094352,1412491
GCF_900477995.1,1,4907449,2549102,52,185,1,1,1,1,4907449,1,4907449,4907449,,,NCTC6480,Salmonella enterica subsp. enterica serovar Florida,2564436
GCA_900477995.1,1,4907449,2549102,52,185,1,1,1,1,4907449,1,4907449,4907449,,,NCTC6480,Salmonella enterica subsp. enterica serovar Florida,2564436
GCF_003590695.1,1,4732430,2518642,52,161,2,2,2,1,4732430,2,4822167,4822167,,,USMARC-69835,Salmonella enterica subsp. enterica serovar Fresno,1077085
GCA_003590695.1,1,4732430,2518642,52,161,2,2,2,1,4732430,2,4822167,4822167,,,USMARC-69835,Salmonella enterica subsp. enterica serovar Fresno,1077085
GCF_020023795.1,1,4624135,2491992,52.5,325,3,3,3,1,4624135,3,4768957,4768957,,,07Q015,Salmonella enterica subsp. enterica serovar Gallinarum,594
GCF_023518135.1,1,4758930,2509077,52,334.01,2,2,2,1,4758930,2,4808486,4808486,,,SCPM-O-B-4493,Salmonella enterica subsp. enterica serovar Gallinarum,594
GCF_023518195.1,1,4664130,2485125,52,330.23,3,3,3,1,4664130,3,4761670,4761670,,,SCPM-O-B-4548,Salmonella enterica subsp. enterica serovar Gallinarum,594
GCF_032598805.1,1,4624151,2417710,52.5,96.91,1,1,1,1,4624151,1,4624151,4624151,,,SG1,Salmonella enterica subsp. enterica serovar Gallinarum,594
GCA_020023795.1,1,4624135,2491992,52.5,325,3,3,3,1,4624135,3,4768957,4768957,,,07Q015,Salmonella enterica subsp. enterica serovar Gallinarum,594
GCA_023518135.1,1,4758930,2509077,52,334.01,2,2,2,1,4758930,2,4808486,4808486,,,SCPM-O-B-4493,Salmonella enterica subsp. enterica serovar Gallinarum,594
GCA_023518195.1,1,4664130,2485125,52,330.23,3,3,3,1,4664130,3,4761670,4761670,,,SCPM-O-B-4548,Salmonella enterica subsp. enterica serovar Gallinarum,594
GCA_030863565.1,1,4626817,2481232,52.5,558,2,2,2,1,4626817,2,4739764,4739764,,,SG4021,Salmonella enterica subsp. enterica serovar Gallinarum,594
GCA_032598805.1,1,4624151,2417710,52.5,96.91,1,1,1,1,4624151,1,4624151,4624151,,,SG1,Salmonella enterica subsp. enterica serovar Gallinarum,594
GCF_000009525.1,1,4658697,2432052,52,,1,1,1,1,4658697,1,4658697,4658697,,,287/91,Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91,550538
GCA_000009525.1,1,4658697,2432052,52,,1,1,1,1,4658697,1,4658697,4658697,,,287/91,Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91,550538
GCF_000335995.2,1,4609911,2406532,52,345,1,1,1,1,4609911,1,4609911,4609911,,ATCC 9184,9184,Salmonella enterica subsp. enterica serovar Gallinarum str. 9184,685040
GCA_000335995.2,1,4609911,2406532,52,345,1,1,1,1,4609911,1,4609911,4609911,,,9184,Salmonella enterica subsp. enterica serovar Gallinarum str. 9184,685040
GCF_027474565.1,1,4729208,2544501,52,120,3,3,3,1,4729208,3,4883354,4883354,,,R51,Salmonella enterica subsp. enterica serovar Gallinarum/Pullorum,604
GCA_027474565.1,1,4729208,2544501,52,120,3,3,3,1,4729208,3,4883354,4883354,,,R51,Salmonella enterica subsp. enterica serovar Gallinarum/Pullorum,604
GCF_000462995.1,1,4623089,2414551,52,5,1,1,1,1,4623089,1,4623089,4623089,,,CDC1983-67,Salmonella enterica subsp. enterica serovar Gallinarum/Pullorum str. CDC1983-67,1225522
GCA_000462995.1,1,4623089,2414551,52,5,1,1,1,1,4623089,1,4623089,4623089,,,CDC1983-67,Salmonella enterica subsp. enterica serovar Gallinarum/Pullorum str. CDC1983-67,1225522
GCF_000235545.1,1,4637962,2421444,52,,1,1,1,1,4637962,1,4637962,4637962,,,RKS5078,Salmonella enterica subsp. enterica serovar Gallinarum/Pullorum str. RKS5078,1081093
GCA_000235545.1,1,4637962,2421444,52,,1,1,1,1,4637962,1,4637962,4637962,,,RKS5078,Salmonella enterica subsp. enterica serovar Gallinarum/Pullorum str. RKS5078,1081093
GCF_002741885.1,1,4801841,2625861,52,100,3,3,3,1,4801841,3,5030148,5030148,,,CFSAN070644; 24N attTn7:: Ptrc-gfpUV-cat; bright fluorescence,Salmonella enterica subsp. enterica serovar Gaminara,913070
GCA_002741885.1,1,4801841,2625861,52,100,3,3,3,1,4801841,3,5030148,5030148,,,CFSAN070644,Salmonella enterica subsp. enterica serovar Gaminara,913070
GCA_008730735.2,1,4801865,2511477,52.5,374,1,1,1,1,4801865,1,4801865,4801865,,,CFSAN024441,Salmonella enterica subsp. enterica serovar Gaminara,913070
GCF_001448665.2,1,4834965,2587558,52,66,4,4,4,1,4834965,4,4957986,4957986,,,SA20063285,Salmonella enterica subsp. enterica serovar Gaminara str. SA20063285,1242094
GCA_001448665.2,1,4834965,2587558,52,66,4,4,4,1,4834965,4,4957986,4957986,,,SA20063285,Salmonella enterica subsp. enterica serovar Gaminara str. SA20063285,1242094
GCF_000487215.2,1,4750116,2480610,52,200,1,1,1,1,4750116,1,4750116,4750116,,,CFSAN001314,Salmonella enterica subsp. enterica serovar Give,46626
